Date,Description,(GBP) Amount,Category,Transaction Type,Bank,Category 1
16/04/2023,Studioway Food & Wine Borehamwood GBR,-3.45,Groceries,Outgoing,Monzo,Groceries
08/04/2023,TFL TRAVEL CH\VICTORIA,-3.5,Transport,Outgoing,Monzo,Transport
07/04/2023,TFL TRAVEL CH\VICTORIA,-8.75,Transport,Outgoing,Monzo,Transport
06/04/2023,HCCU PLATFORM (Faster Payments),-200,Financial Services,Outgoing,Monzo,Banking/Financial Services
06/04/2023,PAYPAL *HC INTERNATION 35314369001,-340,Financial Services,Outgoing,Monzo,Paypal
06/04/2023,PAYPAL *HC INTERNATION 35314369001,-500,Financial Services,Outgoing,Monzo,Paypal
06/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster,"1,040.00",Client's self-transfer,Income,Monzo,Transfer
06/04/2023,NORTH LONDON HOSPICE BARNET GBR,-32,Healthcare,Outgoing,Monzo,Healthcare
06/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster,50,Client's self-transfer,Income,Monzo,Transfer
06/04/2023,Isaac Cambridge (Faster Payments),-150,Transfer to another person,Outgoing,Monzo,Transfer to Isaac
06/04/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-8.75,Transport,Outgoing,Monzo,Transport
06/04/2023,Capital.com UK INTERNET GBR,-30,Financial Services,Outgoing,Monzo,Banking/Financial Services
06/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster,200,Client's self-transfer,Income,Monzo,Transfer
05/04/2023,TFL TRAVEL CH\VICTORIA,-10.2,Transport,Outgoing,Monzo,Transport
04/04/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-8.75,Transport,Outgoing,Monzo,Transport
03/04/2023,MAXINE PATRICIA CAMBRIDGE (Faster,20,Client's self-transfer,Income,Monzo,Transfer
03/04/2023,TFL TRAVEL CH\VICTORIA,-7,Transport,Outgoing,Monzo,Transport
02/04/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-8.75,Transport,Outgoing,Monzo,Transport
01/04/2023,PPOINT_*STUDIO WAY FOO BOREHAMWOOD,-1.25,Groceries,Outgoing,Monzo,Unknown
01/04/2023,TESCO STORES 5781 BARNET GBR,-1.51,Groceries,Outgoing,Monzo,Groceries
01/04/2023,CO-OP GROUP FOOD RETAI HIGHGATE GBR,-2,Groceries,Outgoing,Monzo,Groceries
01/04/2023,ALDI 781 142 LONDON GBR,-2.39,Groceries,Outgoing,Monzo,Groceries
01/04/2023,TFL TRAVEL CH\VICTORIA,-8.75,Transport,Outgoing,Monzo,Transport
01/04/2023,WAITROSE LONDON GBR,-8.45,Groceries,Outgoing,Monzo,Groceries
01/04/2023,Interest for March 2023,0.07,Banking,Income,Monzo,Interest
31/03/2023,BOOTS 951 LONDON GBR,-3.75,Pharmacy,Outgoing,Monzo,Pharmacy
31/03/2023,WAITROSE LONDON GBR,-3,Groceries,Outgoing,Monzo,Groceries
31/03/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-1.75,Transport,Outgoing,Monzo,Transport
30/03/2023,TESCO STORES 2126 BOREHAMWOOD GBR,-6.07,Groceries,Outgoing,Monzo,Groceries
29/03/2023,DENIZ BEST KEBAB LONDON GBR,-6,Eat out,Outgoing,Monzo,Restaurant
29/03/2023,HUMAN RELIEF WELFARE LONDON GBR,-22,Welfare,Outgoing,Monzo,Charity
29/03/2023,NISA LOCAL ELSTREE STA BOREHAMWOOD,-2.98,Groceries,Outgoing,Monzo,Groceries
28/03/2023,Coinbase (Faster Payments),89,Cryptocurrency,Income,Monzo,Cryptocurrency
28/03/2023,TFL TRAVEL CH\VICTORIA,-6.4,Transport,Outgoing,Monzo,Transport
28/03/2023,ALDI 781 142 LONDON GBR,-1.89,Groceries,Outgoing,Monzo,Groceries
27/03/2023,WAITROSE LONDON GBR,-5.34,Groceries,Outgoing,Monzo,Groceries
27/03/2023,Subway 35641 Adgate hi London GBR,-12.55,Transport,Outgoing,Monzo,Food and Dining
27/03/2023,Studioway Food & Wine Borehamwood GBR,-3,Groceries,Outgoing,Monzo,Groceries
26/03/2023,FAST FOOD LONDON GBR,-5.49,Eat out,Outgoing,Monzo,Food and Dining
26/03/2023,TESCO STORES 5781 BARNET GBR,-6.9,Groceries,Outgoing,Monzo,Groceries
25/03/2023,TFL TRAVEL CH\VICTORIA,-1.75,Transport,Outgoing,Monzo,Transport
24/03/2023,TGC ST KATHERINES LONDON GBR,-12.45,Unknown/Other (not enough information to categorize),Outgoing,Monzo,TGI (unknown)
24/03/2023,SIMPLY LOCAL BARNET GBR,-1.5,Local Business,Outgoing,Monzo,Beauty and Personal Care
23/03/2023,ALDI 781 142 LONDON GBR,-8.25,Groceries,Outgoing,Monzo,Groceries
23/03/2023,BOOTS 951 LONDON GBR,-4.99,Pharmacy,Outgoing,Monzo,Pharmacy
23/03/2023,TfL Travel Charge TFL.gov.uk/CP GBR,-6.4,Transport,Outgoing,Monzo,Transport
22/03/2023,TESCO STORES 6042 LONDON GBR,-7.8,Groceries,Outgoing,Monzo,Groceries
22/03/2023,WAITROSE LONDON GBR,-6.4,Groceries,Outgoing,Monzo,Groceries
21/03/2023,Organic Food Garden Barnet GBR,-6.67,Eat out,Outgoing,Monzo,Groceries
21/03/2023,Monzo Plus,-5,Banking,Outgoing,Monzo,Banking/Financial Services
20/03/2023,AGE UK HERTSUNITED K GBR,-5,Charity,Outgoing,Monzo,Charity
20/03/2023,ONE STOP FOOD AND WINE LONDON GBR,-2.5,Groceries,Outgoing,Monzo,Groceries
19/03/2023,SAINSBURYS WAPPING LON LONDON GBR,-1.45,Groceries,Outgoing,Monzo,Groceries
19/03/2023,SAINSBURYS WAPPING LON LONDON GBR,-4.45,Groceries,Outgoing,Monzo,Groceries
19/03/2023,Greens international f Edgware GBR,-4.27,Unknown/Other (not enough information to categorize),Outgoing,Monzo,Groceries
18/03/2023,SPECSAVERS BOREHAMWOOD GBR,-35,Healthcare,Outgoing,Monzo,Healthcare
18/03/2023,COINBASE.COM?GBP LONDON GBR,-10,Cryptocurrency,Outgoing,Monzo,Cryptocurrency
17/03/2023,Coinbase Payments (Faster Payments),-20,Cryptocurrency,Outgoing,Monzo,Cryptocurrency
16/03/2023,Capital.com UK INTERNET GBR,-20,Financial Services,Outgoing,Monzo,Internet Services
13/03/2023,MAXINE PATRICIA CAMBRIDGE (Faster,50,Client's self-transfer,Income,Monzo,Transfer
12/03/2023,COINBASE.COM?GBP LONDON GBR,-10,Cryptocurrency,Outgoing,Monzo,Cryptocurrency
12/03/2023,COINBASE.COM?GBP LONDON GBR,-50,Cryptocurrency,Outgoing,Monzo,Cryptocurrency
12/03/2023,FAST FOOD LONDON GBR,-5.49,Eat out,Outgoing,Monzo,Food and Dining
12/03/2023,MAXINE PATRICIA CAMBRIDGE (Faster,50,Client's self-transfer,Income,Monzo,Transfer
12/03/2023,WAITROSE LONDON GBR,-3.15,Groceries,Outgoing,Monzo,Groceries
11/03/2023,Aksu Supermarket London GBR,-2.99,Groceries,Outgoing,Monzo,Groceries
11/03/2023,WAITROSE LONDON GBR,-7.05,Groceries,Outgoing,Monzo,Groceries
11/03/2023,WAITROSE LONDON GBR,-3.15,Groceries,Outgoing,Monzo,Groceries
10/03/2023,Organic Food Garden Barnet GBR,-3.88,Groceries,Outgoing,Monzo,Groceries
10/03/2023,ALDI 781 142 LONDON GBR,-1.89,Groceries,Outgoing,Monzo,Groceries
10/03/2023,BOOTS 951 LONDON GBR,-0.99,Pharmacy,Outgoing,Monzo,Pharmacy
10/03/2023,Amount: USD -1.91. Conversion rate:,-1.62,Unknown/Other (not enough information to categorize),Outgoing,Monzo,Unknown
10/03/2023,Zettle_*Wapping Sourdo London GBR,-4,Unknown/Other (not enough information to categorize),Outgoing,Monzo,Food and Dining
10/03/2023,MAXINE PATRICIA CAMBRIDGE (Faster,160,Client's self-transfer,Income,Monzo,Transfer
10/03/2023,Isaac Cambridge (Faster Payments),-850,Transfer to another person,Outgoing,Monzo,Transfer to Isaac
10/03/2023,MAXINE PATRICIA CAMBRIDGE (Faster,885,Client's self-transfer,Income,Monzo,Transfer
01/03/2023,Interest for February 2023,0.02,Banking,Income,Monzo,Interest
03/04/2023,Inward Payment Isaac Cambridge,50,Inward Payment,Income,Metro,Transfer from Isaac
03/04/2023,Outward Faster Payment Maxine cambridge,-20,Outward Faster Payment,Outgoing,Metro,Transfer
05/04/2023,SAINSBURYS S MKTS,-1.45,Grocery Shopping,Outgoing,Metro,Groceries
05/04/2023,ALD! Stores,-4.18,Retail,Outgoing,Metro,Groceries
05/04/2023,Patreon Membership 50142563486,-6,Subscription,Outgoing,Metro,Subscription Services
06/04/2023,BACS Payment Received CIS SECURITY LTD,1932.22,Payment Received,Income,Metro,Work
06/04/2023,Outward Faster Payment Maxine cambridge,-200,Outward Faster Payment,Outgoing,Metro,Transfer
06/04/2023,NISA LOCAL ELSTREE STA,1.49,Category: Local transportation,Income,Metro,Groceries
06/04/2023,WAITROSE 753,3.45,Grocery Shopping,Income,Metro,Groceries
06/04/2023,TGC SERVICES,4.62,Service transaction,Income,Metro,TGI (unknown)
06/04/2023,Outward Faster Payment Maxine cambridge,50,Outward Faster Payment,Income,Metro,Transfer
06/04/2023,Inward Payment Access UK,100,Inward Payment,Income,Metro,Banking/Financial Services
06/04/2023,Outward Faster Payment Maxine cambridge,-1040,Outward Faster Payment,Outgoing,Metro,Transfer
04/04/2023,Inward Payment Access UK,40,Inward Payment,Income,Metro,Banking/Financial Services
11/04/2023,ALDI Stores,-7.82,Grocery Shopping,Outgoing,Metro,Groceries
11/04/2023,Studioway Food Wine,-8.64,Food and Beverage,Outgoing,Metro,Groceries
11/04/2023,AFFINITY WATER - CCP W,-21.32,Utility Bill Payment,Outgoing,Metro,Utilities
11/04/2023,Greens international f,-2.49,Foreign transaction,Outgoing,Metro,Groceries
11/04/2023,PPOINT STUDIO WAY FOO,-3,Online Shopping,Outgoing,Metro,Unknown
11/04/2023,LUL TICKET MACHINE,-5,Transportation,Outgoing,Metro,Transport
11/04/2023,ALDI Stores,-8.91,Grocery Shopping,Outgoing,Metro,Groceries
11/04/2023,WAITROSE 753,-9.35,Grocery Shopping,Outgoing,Metro,Groceries
11/04/2023,PARRY JONES PHARMACY,-20.29,Pharmacy,Outgoing,Metro,Pharmacy
11/04/2023,VODAFONE LTD,-79.82,Telecommunications,Outgoing,Metro,Telecommunications
11/04/2023,PLACES FOR PEOPLE HOME,-560,Real Estate,Outgoing,Metro,Rent
11/04/2023,Inward Payment Access UK Ltd,254,Payment Transaction,Income,Metro,Transfer
12/04/2023,Card Purchase 10 APR 2023,-2.15,Category: Retail Purchase,Outgoing,Metro,Unknown
12/04/2023,TESCO STORES 5781,-3.9,Grocery Shopping,Outgoing,Metro,Groceries
12/04/2023,TFL TRAVEL CH,-5.25,Transportation,Outgoing,Metro,Transport
12/04/2023,SAVERS HEALTH BEAUTY,-7.41,Category: Retail,Outgoing,Metro,Beauty and Personal Care
12/04/2023,PAK COSMETIC CENTR,-7.99,Retail,Outgoing,Metro,Beauty and Personal Care
13/04/2023,WAITROSE 753,-1.35,Grocery Shopping,Outgoing,Metro,Groceries
13/04/2023,Studioway Food Wine,-1.6,Food and Beverage,Outgoing,Metro,Groceries
13/04/2023,BOOTS 951,-4.99,Category: Retail purchase,Outgoing,Metro,Pharmacy
13/04/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
13/04/2023,WWW.HERTSMERE.GOV.UK,-150,Government/Public Services,Outgoing,Metro,Council
13/04/2023,WAITROSE 753,-5.3,Grocery Shopping,Outgoing,Metro,Groceries
13/04/2023,ARON SPECIALIST DRYCLE,-10,Service,Outgoing,Metro,Dry Cleaning
13/04/2023,VODAFONE LTD,-43.97,Telecommunications,Outgoing,Metro,Telecommunications
14/04/2023,PPOINT STUDIO WAY FOO,-1.79,Online Shopping,Outgoing,Metro,Unknown
14/04/2023,WAITROSE 753,-2.88,Grocery Shopping,Outgoing,Metro,Groceries
14/04/2023,WAITROSE 753,-5.2,Grocery Shopping,Outgoing,Metro,Groceries
14/04/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
17/04/2023,Aksu Supermarket,-1.67,Retail,Outgoing,Metro,Groceries
17/04/2023,ALDI Stores,-5.27,Grocery Shopping,Outgoing,Metro,Groceries
17/04/2023,WAITROSE 753,-8.63,Grocery Shopping,Outgoing,Metro,Groceries
17/04/2023,TFL TRAVEL CH,-875,Transportation,Outgoing,Metro,Transport
17/04/2023,Inward Payment Isaac Cambridge,100,Inward Payment,Income,Metro,Transfer from Isaac
18/04/2023,Greens international f,-2.98,Foreign transaction,Outgoing,Metro,Groceries
18/04/2023,Zettle 83 WENZELS THE,-3,Retail,Outgoing,Metro,Food and Dining
18/04/2023,SAINSBURYS S MKTS,-3.75,Grocery Shopping,Outgoing,Metro,Groceries
18/04/2023,WAITROSE 753,-3.87,Grocery Shopping,Outgoing,Metro,Groceries
