Table 1.2 - Count Of Births Of New Enterprises For 2016 To 2021 Standard Industrial Classification (SIC2007) Group,,,,,,
This worksheet contains one table,,,,,,
Units: Counts (control rounded to base 5),,,,,,
Sector,2016,2017,2018,2019,2020,2021
    411 : Development of building projects,"6,520","6,795","6,920","6,790","6,335","7,315"
    412 : Construction of residential and non-residential buildings,"10,465","9,940","10,165","9,385","9,190","12,340"
42 : Civil engineering,"4,315","3,630","3,380","4,150","3,345","3,050"
    421 : Construction of roads and railways,"2,225","1,760","1,680","2,180","1,595","1,360"
    422 : Construction of utility projects,300,300,260,350,370,415
    429 : Construction of other civil engineering projects,"1,790","1,570","1,440","1,620","1,380","1,275"
43 : Specialised construction activities,"28,935","31,185","27,870","28,245","23,615","30,270"
    431 : Demolition and site preparation,"1,145","1,350",940,980,635,560
"    432 : Electrical, plumbing and other construction installation activities","11,580","11,420","11,185","10,610","9,355","12,470"
    433 : Building completion and finishing,"11,735","13,315","10,820","11,560","8,845","12,090"
    439 : Other specialised construction activities,"4,475","5,100","4,925","5,095","4,780","5,150"
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,"8,455","8,140","8,575","7,420","7,600","8,860"
    451 : Sale of motor vehicles,"2,260","2,335","2,260","2,395","2,630","2,895"
    452 : Maintenance and repair of motor vehicles,"5,185","4,805","5,360","4,165","3,810","4,745"
    453 : Sale of motor vehicle parts and accessories,810,805,760,680,935,990
"    454 : Sale, maintenance and repair of motorcycles and related parts and accessories",200,195,195,180,225,230
"46 : Wholesale trade, except of motor vehicles and motorcycles","9,425","9,285","9,605","9,390","13,525","13,480"
    461 : Wholesale on a fee or contract basis,"1,265","1,465","1,535","1,725","2,305","2,090"
    462 : Wholesale of agricultural raw materials and live animals,190,185,165,200,195,280
"    463 : Wholesale of food, beverages and tobacco","1,950","1,860","1,905","1,880","2,650","2,395"
    464 : Wholesale of household goods,"2,510","2,510","2,395","2,355","3,100","3,060"
    465 : Wholesale of information and communication equipment,395,435,445,385,445,445
"    466 : Wholesale of other machinery, equipment and supplies",780,705,615,640,655,885
    467 : Other specialised wholesale,"1,360","1,150","1,550","1,105","1,225","1,270"
    469 : Non-specialised wholesale trade,975,975,995,"1,100","2,950","3,055"
"47 : Retail trade, except of motor vehicles and motorcycles","26,750","29,685","32,290","31,935","34,630","38,870"
    471 : Retail sale in non-specialised stores,"4,535","4,885","4,770","4,905","5,030","5,485"
"    472 : Retail sale of food, beverages and tobacco in specialised stores","2,525","2,500","2,275","2,460","2,665","3,105"
    473 : Retail sale of automotive fuel in specialised stores,230,230,180,170,145,120
    474 : Retail sale of information and communication equipment in specialised stores,725,625,725,710,775,810
    475 : Retail sale of other household equipment in specialised stores,"2,655","2,660","2,275","1,885","2,115","3,240"
    476 : Retail sale of cultural and recreation goods in specialised stores,"1,095","1,090","1,015",900,"1,290","1,635"
    477 : Retail sale of other goods in specialised stores,"5,730","5,490","5,385","4,595","5,130","6,565"
    478 : Retail sale via stalls and markets,380,395,415,465,695,715
"    479 : Retail trade not in stores, stalls or markets","8,875","11,810","15,250","15,845","16,785","17,195"
49 : Land transport and transport via pipelines,"14,980","9,785","12,275","18,225","14,840","20,660"
"    491 : Passenger rail transport, interurban",5,5,5,0,0,0
    492 : Freight rail transport,5,35,30,35,30,30
    493 : Other passenger land transport,"1,725","1,680","1,670","1,680","1,405","1,300"
    494 : Freight transport by road and removal services,"13,240","8,065","10,570","16,510","13,405","19,330"
    495 : Transport via pipeline,5,0,0,0,0,0
50 : Water transport,105,135,130,115,125,115
    501 : Sea and coastal passenger water transport,45,60,60,50,55,50
    502 : Sea and coastal freight water transport,45,60,50,50,60,45
    503 : Inland passenger water transport,10,10,15,15,10,15
    504 : Inland freight water transport,5,5,5,0,0,5
51 : Air transport,85,180,270,60,60,255
    511 : Passenger air transport,55,50,50,50,40,50
    512 : Freight air transport and space transport,30,130,220,10,20,205
52 : Warehousing and support activities for transportation,"6,695","7,940","4,345","2,960","2,430","2,900"
    521 : Warehousing and storage,"4,725","4,905","1,915",645,415,525
    522 : Support activities for transportation,"1,970","3,035","2,430","2,315","2,015","2,375"
53 : Postal and courier activities,"5,310","6,100","6,905","11,055","19,910","22,215"
    531 : Postal activities under universal service obligation,235,200,210,170,200,280
    532 : Other postal and courier activities,"5,075","5,900","6,695","10,885","19,710","21,935"
55 : Accommodation,"1,565","1,815","1,855","1,860","1,695","2,340"
