Date,Description, (GBP) Amount ,Transaction Type,Bank,Category 1,
10/03/2023,Outward Faster Payment Maxine cambridge, -£50.00 ,Outgoing,Metro,Transfer,
13/03/2023,TFL TRAVEL CH, -£11.90 ,Outgoing,Metro,Transport,
13/03/2023,Inward Payment Access UK Ltd, £100.00 ,Income,Metro,Transfer,
13/03/2023,Outward Faster Payment Maxine cambridge, -£50.00 ,Outgoing,Metro,Transfer,
14/03/2023,ALDI Stores, -£1.09 ,Outgoing,Metro,Groceries,
14/03/2023,Greens international f, -£3.78 ,Outgoing,Metro,Groceries,
14/03/2023,TESCO STORES 6042, -£3.90 ,Outgoing,Metro,Groceries,
14/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
14/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
14/03/2023,TFL TRAVEL CH, -£9.30 ,Outgoing,Metro,Transport,
14/03/2023,WAITROSE 753, -£11.55 ,Outgoing,Metro,Groceries,
14/03/2023,PLACES FOR PEOPLE HOME, -£500.00 ,Outgoing,Metro,Rent,
15/03/2023,AMZNMKTPLACE AMAZON.CO, -£3.51 ,Outgoing,Metro,Online Shopping,
15/03/2023,Zettle Wapping Sourdo, -£4.00 ,Outgoing,Metro,Unknown,
15/03/2023,SAINSBURYS S MKTS, -£4.60 ,Outgoing,Metro,Groceries,
15/03/2023,WAITROSE 753, -£15.37 ,Outgoing,Metro,Groceries,
15/03/2023,Inward Payment Access UK Ltd, £50.00 ,Income,Metro,Transfer,
14/03/2023,PPOINT STUDIO WAY FOO, -£1.30 ,Outgoing,Metro,Unknown,
16/03/2023,BRITISH HEART FOUNDATI, -£1.49 ,Outgoing,Metro,Charity,
16/03/2023,MCDONALDS 55, -£2.19 ,Outgoing,Metro,Food and Dining,
16/03/2023,ALDI Stores, -£4.74 ,Outgoing,Metro,Groceries,
16/03/2023,WAITROSE 753, -£4.70 ,Outgoing,Metro,Groceries,
16/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
